time,temperature,pH,dissolved_o2
1667712759087,23.376,0,0
1667712789088,23.396,0,0
1667712819088,23.408,0,0
1667712849089,23.416,0,0
1667712879090,23.417,0,0
1667712909091,23.416,0,0
1667712939092,23.413,0,0
1667712969092,23.399,0,0
1667712999092,23.391,0,0
1667713029093,23.380,0,0
1667713059095,23.364,0,0
1667713089095,23.353,0,0
1667713119096,23.325,0,0
1667713149096,23.295,0,0
1667713179097,23.269,0,0
1667713209099,23.253,0,0
1667713239094,23.073,0,0
1667713269073,23.253,0,0
